# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2025-12-19 18:49:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1058755528 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0-172-g8d78669
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.885972
# Diagonal elements of inverse mass matrix:
# 0.492229
-8.4188865,0.38285392,0.88597205,1,3,0,11.911016,0.07679829
-7.7381489,1,0.88597205,1,1,0,8.3537116,0.10617821
-6.7618259,0.95505176,0.88597205,1,3,0,8.3065049,0.27114271
-6.7609939,0.99752893,0.88597205,2,3,0,6.7862531,0.27048485
-6.9780093,0.9187945,0.88597205,2,3,0,7.2785658,0.17222139
-6.9072131,1,0.88597205,1,1,0,6.9784197,0.18424966
-8.3558794,0.84622922,0.88597205,2,3,0,8.4646577,0.078989367
-7.6493299,1,0.88597205,1,1,0,8.2830714,0.11125296
-8.3581107,0.92917324,0.88597205,1,1,0,8.3585019,0.07891032
-8.3438819,1,0.88597205,1,1,0,8.5534222,0.079416272
-9.2359236,0.93363506,0.88597205,2,7,0,9.731143,0.56703728
-7.540801,1,0.88597205,2,3,0,8.7814232,0.42422292
-6.751286,1,0.88597205,2,3,0,7.5361106,0.23999189
-8.7147239,0.56055208,0.88597205,1,3,0,10.140084,0.067532611
-8.5080329,1,0.88597205,2,3,0,8.8373004,0.073836946
-6.9029921,1,0.88597205,2,3,0,8.354463,0.1850601
-6.7564475,0.98996666,0.88597205,1,3,0,6.9975142,0.26645579
-7.0175091,0.95354667,0.88597205,2,3,0,7.1356842,0.34828024
-6.8228175,1,0.88597205,2,7,0,6.9793876,0.20385119
-7.1234047,0.9589816,0.88597205,1,3,0,7.1427192,0.1533392
-7.1115431,1,0.88597205,2,3,0,7.1807584,0.15468087
-6.9480175,0.93793319,0.88597205,1,3,0,7.8043392,0.3339965
-6.7535086,0.98935563,0.88597205,1,3,0,7.0140513,0.23706051
-7.4751788,0.84258269,0.88597205,1,3,0,7.8046752,0.12249009
-7.3761687,1,0.88597205,1,1,0,7.5303655,0.12983153
-6.7480692,0.98354839,0.88597205,1,3,0,7.5766117,0.24878353
-6.7480538,1,0.88597205,2,3,0,6.7480694,0.24899961
-6.7480538,0.77888073,0.88597205,1,3,0,7.9474868,0.24899961
-7.6340859,0.76673807,0.88597205,2,3,0,8.3880003,0.11216447
-6.9282004,0.99657092,0.88597205,2,3,0,7.6969124,0.1803974
-10.139242,0.77425,0.88597205,2,3,0,10.499712,0.61983433
-6.9487498,1,0.88597205,2,3,0,9.8568141,0.17687685
-7.0541188,0.98288575,0.88597205,1,1,0,7.0661166,0.1616146
-6.9154028,0.94707966,0.88597205,1,3,0,7.6334042,0.32650509
-6.7677689,0.98944314,0.88597205,2,3,0,6.993962,0.27537202
-6.7735654,0.99865525,0.88597205,1,1,0,6.7767094,0.27893611
-7.7099274,0.73569837,0.88597205,2,7,0,8.6109603,0.10774873
-7.2863853,1,0.88597205,1,1,0,7.6596735,0.13726236
